Fluxx Glossary,,,,,,,
Report Date: 05-Nov-2024,,,,,,,
Model Type,Field Name,Label,Use,Theme Name,Form Name,Order,Legacy
Board Meetings,agenda,Agenda,Dynamic Field,,,,
Board Meetings,agenda,Agenda,Form Builder,Board Meetings,default,,
Board Meetings,agenda,Agenda,Export Format,,,10,
Board Meetings,auto_increment_num,Auto increment num,Core Field,,,,
Board Meetings,auto_increment_num,ID,Export Format,,,1,
Board Meetings,board_meetings,Board Meetings,Dynamic Field,,,,
Board Meetings,board_meetings,Board Meetings,Export Format,,,8,
Board Meetings,created_at,Created at,Core Field,,,,
Board Meetings,created_at,Created At,Form Builder,Board Meetings,default,,
Board Meetings,created_at,Date Created,Export Format,,,2,
Board Meetings,created_by,Created by,Core Field,,,,
Board Meetings,created_by,Created By,Export Format,,,5,
Board Meetings,created_by.full_name,Created By,Form Builder,Board Meetings,default,,
Board Meetings,data_language,Data language,Core Field,,,,
Board Meetings,id,Id,Core Field,,,,
Board Meetings,index_dirty_at,Index dirty at,Core Field,,,,
Board Meetings,index_status,Index status,Core Field,,,,
Board Meetings,indexed_at,Indexed at,Core Field,,,,
Board Meetings,is_temp_precreate,Is temp precreate,Core Field,,,,
Board Meetings,locked_by,Locked by,Core Field,,,,
Board Meetings,locked_until,Locked until,Core Field,,,,
Board Meetings,materials_due_date,Materials Due Date,Dynamic Field,,,,
Board Meetings,materials_due_date,Materials Due Date,Form Builder,Board Meetings,default,,
Board Meetings,materials_due_date,Materials Due Date,Export Format,,,7,
Board Meetings,meeting_date,Meeting Date,Dynamic Field,,,,
Board Meetings,meeting_date,Meeting Date,Form Builder,Board Meetings,default,,
Board Meetings,meeting_date,Meeting Date,Export Format,,,6,
Board Meetings,migrate_id,Migrate,Core Field,,,,
Board Meetings,migrate_source_name,Migrate source name,Core Field,,,,
Board Meetings,model,Model,Core Field,,,,
Board Meetings,model_theme,Model theme,Core Field,,,,
Board Meetings,name,Name,Dynamic Field,,,,
Board Meetings,name,Name,Form Builder,Board Meetings,default,,
Board Meetings,name,Name,Export Format,,,9,
Board Meetings,segment,Segment,Core Field,,,,
Board Meetings,segmentable_model,Segmentable model,Core Field,,,,
Board Meetings,segmentable_model_type,Segmentable model type,Core Field,,,,
Board Meetings,state,State,Core Field,,,,
Board Meetings,state,State,Export Format,,,4,
Board Meetings,state_to_english,State to english,Core Field,,,,
Board Meetings,state_to_external_english,State to external english,Core Field,,,,
Board Meetings,taskable,Taskable,Core Field,,,,
Board Meetings,trackable,Trackable,Core Field,,,,
Board Meetings,type,Type,Core Field,,,,
Board Meetings,updated_at,Updated at,Core Field,,,,
Board Meetings,updated_at,Updated At,Form Builder,Board Meetings,default,,
Board Meetings,updated_at,Date Updated,Export Format,,,3,
Board Meetings,updated_by,Updated by,Core Field,,,,
Board Meetings,updated_by.full_name,Updated By,Form Builder,Board Meetings,default,,
Board Meetings,workflowable,Workflowable,Core Field,,,,
Fund,balance,Balance,Core Field,,,,
Fund,balance,Balance,Export Format,,,3,
Fund,can_be_over_allocated,Can be over allocated,Core Field,,,,
Fund,can_be_over_allocated,Can Be Over-Allocated?,Export Format,,,8,
Fund,closed_at,Closed at,Core Field,,,,
Fund,closed_at,Date Closed,Export Format,,,12,
Fund,created_at,Created at,Core Field,,,,
Fund,created_at,Date Created,Export Format,,,6,
Fund,created_by,Created by,Core Field,,,,
Fund,illiquid_balance,Illiquid balance,Core Field,,,,
Fund,illiquid_balance,Illiquid Balance,Export Format,,,4,
Fund,index_dirty_at,Index dirty at,Core Field,,,,
Fund,index_status,Index status,Core Field,,,,
Fund,indexed_at,Indexed at,Core Field,,,,
Fund,is_invested,Is invested,Core Field,,,,
Fund,is_invested,Is Invested?,Export Format,,,11,
Fund,locked_by,Locked by,Core Field,,,,
Fund,migrate_id,Migrate,Core Field,,,,
Fund,migrate_id,Migrate ID,Export Format,,,9,
Fund,migrate_source_name,Migrate source name,Core Field,,,,
Fund,migrate_source_name,Migrate Source Name,Export Format,,,10,
Fund,model,Model,Core Field,,,,
Fund,model_theme,Model theme,Core Field,,,,
Fund,model_theme_id,Model Theme ID,Export Format,,,5,
Fund,name,Name,Core Field,,,,
Fund,name,Name,Export Format,,,1,
Fund,opened_at,Opened at,Core Field,,,,
Fund,opened_at,Date Opened,Export Format,,,13,
Fund,state,State,Core Field,,,,
Fund,state,State,Export Format,,,2,
Fund,updated_at,Updated at,Core Field,,,,
Fund,updated_at,Date Updated,Export Format,,,7,
Fund,updated_by,Updated by,Core Field,,,,
Grant Data Archive,auto_increment_num,Auto increment num,Core Field,,,,
Grant Data Archive,auto_increment_num,ID,Export Format,,,1,
Grant Data Archive,comments,Comments,Dynamic Field,,,,
Grant Data Archive,comments,Comments,Form Builder,Grant Data Archive,default,,
Grant Data Archive,comments,Comments,Export Format,,,6,
Grant Data Archive,created_at,Created at,Core Field,,,,
Grant Data Archive,created_at,Created At,Form Builder,Grant Data Archive,default,,
Grant Data Archive,created_at,Date Created,Export Format,,,2,
Grant Data Archive,created_by,Created by,Core Field,,,,
Grant Data Archive,created_by,Created By,Export Format,,,5,
Grant Data Archive,created_by_id.full_name,Created By,Form Builder,Grant Data Archive,default,,
Grant Data Archive,data_language,Data language,Core Field,,,,
Grant Data Archive,id,Id,Core Field,,,,
Grant Data Archive,index_dirty_at,Index dirty at,Core Field,,,,
Grant Data Archive,index_status,Index status,Core Field,,,,
Grant Data Archive,indexed_at,Indexed at,Core Field,,,,
Grant Data Archive,is_temp_precreate,Is temp precreate,Core Field,,,,
Grant Data Archive,locked_by,Locked by,Core Field,,,,
Grant Data Archive,locked_until,Locked until,Core Field,,,,
Grant Data Archive,migrate_id,Migrate,Core Field,,,,
Grant Data Archive,migrate_source_name,Migrate source name,Core Field,,,,
Grant Data Archive,model,Model,Core Field,,,,
Grant Data Archive,model_theme,Model theme,Core Field,,,,
Grant Data Archive,segment,Segment,Core Field,,,,
Grant Data Archive,segmentable_model,Segmentable model,Core Field,,,,
Grant Data Archive,segmentable_model_type,Segmentable model type,Core Field,,,,
Grant Data Archive,state,State,Core Field,,,,
Grant Data Archive,state,State,Export Format,,,4,
Grant Data Archive,state_to_english,State to english,Core Field,,,,
Grant Data Archive,state_to_external_english,State to external english,Core Field,,,,
Grant Data Archive,taskable,Taskable,Core Field,,,,
Grant Data Archive,trackable,Trackable,Core Field,,,,
Grant Data Archive,type,Type,Core Field,,,,
Grant Data Archive,updated_at,Updated at,Core Field,,,,
Grant Data Archive,updated_at,Date Updated,Export Format,,,3,
Grant Data Archive,updated_by,Updated by,Core Field,,,,
Grant Data Archive,workflowable,Workflowable,Core Field,,,,
Grant Request,"[:fiscal_organization, :city]",Fiscal City,Export Format,,,28,
Grant Request,"[:fiscal_organization, :geo_country, :name]",Fiscal Country,Export Format,,,30,
Grant Request,"[:fiscal_organization, :geo_state, :name]",Fiscal State,Export Format,,,29,
Grant Request,"[:fiscal_organization, :name]",Fiscal Organization,Export Format,,,25,
Grant Request,"[:fiscal_organization, :postal_code]",Fiscal Postal Code,Export Format,,,31,
Grant Request,"[:fiscal_organization, :street_address2]",Fiscal Street Address2,Export Format,,,27,
Grant Request,"[:fiscal_organization, :street_address]",Fiscal Street Address,Export Format,,,26,
Grant Request,"[:fiscal_organization, :tax_id]",Fiscal Tax ID,Export Format,,,33,
Grant Request,"[:fiscal_organization, :url]",Fiscal URL,Export Format,,,32,
Grant Request,"[:grantee_org_owner, :email]",Primary Contact Email,Export Format,,,48,
Grant Request,"[:grantee_org_owner, :first_name]",Primary Contact First Name,Export Format,,,46,
Grant Request,"[:grantee_org_owner, :last_name]",Primary Contact Last Name,Export Format,,,47,
Grant Request,"[:grantee_signatory, :email]",Signatory Email,Export Format,,,54,
Grant Request,"[:grantee_signatory, :first_name]",Signatory First Name,Export Format,,,52,
Grant Request,"[:grantee_signatory, :last_name]",Signatory Last Name,Export Format,,,53,
Grant Request,"[:initiative, :name]",Initiatives,Export Format,,,38,
Grant Request,"[:model_theme, :name]",Application Type,Export Format,,,4,
Grant Request,"[:program, :name]",Program,Export Format,,,36,
Grant Request,"[:program_lead, :email]",Program Lead Contact Email,Export Format,,,51,
Grant Request,"[:program_lead, :first_name]",Program Lead First Name,Export Format,,,49,
Grant Request,"[:program_lead, :full_name]",Lead PO/PD,Export Format,,,34,
Grant Request,"[:program_lead, :last_name]",Program Lead Last Name,Export Format,,,50,
Grant Request,"[:program_organization, :tax_id]",Grantee Tax ID,Export Format,,,24,
Grant Request,"[:program_organization, :url]",Grantee URL,Export Format,,,23,
Grant Request,"[:secondary_program_lead, :full_name]",Secondary Lead,Export Format,,,35,
Grant Request,"[:sub_initiative, :name]",Sub Initiatives,Export Format,,,39,
Grant Request,"[:sub_program, :name]",Sub Program,Export Format,,,37,
Grant Request,activities,Activities,Dynamic Field,,,,
Grant Request,activities,Activities,Export Format,,,79,
Grant Request,ad_hoc_questions,Ad Hoc Questions,Dynamic Field,,,,
Grant Request,ad_hoc_questions,Ad Hoc Questions,Export Format,,,58,
Grant Request,additional_comments,Additional Comments,Dynamic Field,,,,
Grant Request,additional_comments,Additional Comments,Export Format,,,87,
Grant Request,address_org,Address org,Core Field,,,,
Grant Request,al_proposal_and_budget_date,Al proposal and budget date,Core Field,,,,
Grant Request,all_document_types,All document types,Core Field,,,,
Grant Request,all_document_types,Document Types,Export Format,,,14,
Grant Request,amount_available_to_spend,Amount available to spend,Core Field,,,,
Grant Request,amount_funded,Amount funded,Core Field,,,,
Grant Request,amount_funded,Payment (Paid),Export Format,,,11,
Grant Request,amount_pending,Amount pending,Core Field,,,,
Grant Request,amount_pending,Payment (Due),Export Format,,,12,
Grant Request,amount_recommended,Amount recommended,Core Field,,,,
Grant Request,amount_recommended,Current Amount Recommended,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,amount_recommended,Current Amount Recommended,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,amount_recommended,Amount Funded,Export Format,,,9,
Grant Request,amount_recommended_cpi_adjusted,Amount recommended cpi adjusted,Core Field,,,,
Grant Request,amount_recommended_fx_2,Amount recommended fx 2,Core Field,,,,
Grant Request,amount_recommended_local,Amount recommended local,Core Field,,,,
Grant Request,amount_recommended_timestamp,Amount Recommended Timestamp,Dynamic Field,,,,
Grant Request,amount_recommended_timestamp,Original Amount Recommended,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,amount_recommended_timestamp,Original Amount Recommended,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,amount_recommended_timestamp,Amount Recommended Timestamp,Export Format,,,65,
Grant Request,amount_requested,Amount requested,Core Field,,,,
Grant Request,amount_requested,Amount Requested,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,amount_requested,Amount Requested,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,amount_requested,Amount Requested,Export Format,,,8,
Grant Request,amount_requested_fx_2,Amount requested fx 2,Core Field,,,,
Grant Request,amount_requested_local,Amount requested local,Core Field,,,,
Grant Request,annual_operating_budget,Annual Operating Budget,Dynamic Field,,,,
Grant Request,annual_operating_budget,Annual Operating Budget,Export Format,,,67,
Grant Request,base_request_id,Base request,Core Field,,,,
Grant Request,base_request_id,Base Request ID,Export Format,,,2,
Grant Request,board_authority_year,Board authority year,Core Field,,,,
Grant Request,board_authorization_required,Board authorization required,Core Field,,,,
Grant Request,board_authorization_required_yes_no,Direct Board Authority Required,Export Format,,,57,
Grant Request,board_meeting,Board Meeting,Dynamic Field,,,,
Grant Request,board_meeting,Board Meeting,Export Format,,,68,
Grant Request,board_meeting.name,Board Meeting,Form Builder,Bundle 1 - Quick Start,Grant,,
Grant Request,board_meeting.name,Board Meeting,Form Builder,Bundle 2 - Best Practices,Default,,
Grant Request,budget_requests,Budget requests,Core Field,,,,
Grant Request,clone_parents,Clone parents,Core Field,,,,
Grant Request,clone_parents_with_self,Clone parents with self,Core Field,,,,
Grant Request,cois,Cois,Core Field,,,,
